[0.000000] (-) TimerEvent: {}
[0.000131] (-) JobUnselected: {'identifier': 'amr_ws'}
[0.000151] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.000161] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.000168] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.000177] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.000185] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.000193] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.000200] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.000207] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.000214] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.000220] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.000226] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.000231] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.000237] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.000242] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.000248] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.000253] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.000258] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.000318] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.000332] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.000422] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.000434] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.000449] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.000460] (-) JobUnselected: {'identifier': 'ros2_slam_auto_navigation'}
[0.000472] (-) JobUnselected: {'identifier': 'rplidar_ros'}
[0.000486] (-) JobUnselected: {'identifier': 'sam_bot_description'}
[0.000496] (-) JobUnselected: {'identifier': 'turtlesim'}
[0.001415] (-) EventReactorShutdown: {}
